#Name,Goethite,Hematite,Kaolinite,Dolomite,Illite,Vermiculite,Montmorillonite,Gypsum,Calcite,Chlorite
Alunite RES10 NA56% Syn 450C s06an14a_a,0,0,0,0,0,0,0,0,0,0
Alunite RES12 NA78% Syn 450C s06an14a_a,0,0,0,0,0,0,0,0,0,0
Alunite SUSTDA-20 s06an14a_b           ,0,0,0,0,0,0,0,0,0,0
Alunite SUSTDA-20 s06an14a_bb_         ,0,0,0,0,0,0,0,0,0,0
Ammonio-Illite/Smectit GDS87 s06an14a_b,0,0,0,0,1,0,0,0,0,0
Ammonio-Illite/Smect GDS87 s06an14a_bb_,0,0,0,0,1,0,0,0,0,0
Ammonio-Jarosite SCF-NHJ s06an14a_a    ,0,0,0,0,0,0,0,0,0,0
Ammonio-Jarosite SCR-NHJ s06an14a_a    ,0,0,0,0,0,0,0,0,0,0
Ammonio-Smectite GDS86 s06an14a_b      ,0,0,0,0,0,0,0,0,0,0
Amphibole NMNH78662 s06an14a_b         ,0,0,0,0,0,0,0,0,0,0
Amphibole NMNH78662 s06an14a_bbb       ,0,0,0,0,0,0,0,0,0,0
Analcime GDS1 Zeolite s06an14a_a       ,0,0,0,0,0,0,0,0,0,0
Analcime GDS1 Zeolite s06an14a_aaa     ,0,0,0,0,0,0,0,0,0,0
Andalusite NMNHR17898 s06an14a_c       ,0,0,0,0,0,0,0,0,0,0
Andalusite NMNHR17898 <74 s06an14a_cb_ ,0,0,0,0,0,0,0,0,0,0
Andalusite NMNHR17898 lggr s06an14a_cb_,0,0,0,0,0,0,0,0,0,0
Andesine HS142.3B s06an14a_c           ,0,0,0,0,0,0,0,0,0,0
Andesine HS142.3B s06an14a_ccc         ,0,0,0,0,0,0,0,0,0,0
Andradite GDS12 Garnet s06an14a_c      ,0,0,0,0,0,0,0,0,0,0
Andradite GDS12 Garnet s06an14a_cc_    ,0,0,0,0,0,0,0,0,0,0
Andradite HS111.3B Garnet s06an14a_b   ,0,0,0,0,0,0,0,0,0,0
Andradite HS111.3b Garnet s06an14a_bbb ,0,0,0,0,0,0,0,0,0,0
Andradite NMNH113829 Garnet s06an14a_b ,0,0,0,0,0,0,0,0,0,0
andradite NMNH113829 Garnt s06an14a_bbb,0,0,0,0,0,0,0,0,0,0
Andradite WS474 s06an14a_b             ,0,0,0,0,0,0,0,0,0,0
Andradite WS487 Garnet s06an14a_b      ,0,0,0,0,0,0,0,0,0,0
Andradite WS487 Garnet s06an14a_bb_    ,0,0,0,0,0,0,0,0,0,0
Andradite WS488 Garnet s06an14a_c      ,0,0,0,0,0,0,0,0,0,0
Andradite WS488 Garnet s06an14a_cc_    ,0,0,0,0,0,0,0,0,0,0
Anhydrite GDS42 <250um s06an14a_a      ,0,0,0,0,0,0,0,0,0,0
Anhydrite GDS42 Garnet s06an14a_aa_    ,0,0,0,0,0,0,0,0,0,0
Annite WS661 Biotite s06an14a_b        ,0,0,0,0,0,0,0,0,0,0
Annite WS661 Biotite s06an14a_bb_      ,0,0,0,0,0,0,0,0,0,0
Anorthite GDS28 Syn <74um s06an14a_a   ,0,0,0,0,0,0,0,0,0,0
Anorthite GDS28 Syn <74 s06an14a_aa_   ,0,0,0,0,0,0,0,0,0,0
Anorthite HS201.3B Plagio s06an14a_a   ,0,0,0,0,0,0,0,0,0,0
Anorthite HS201.3B Plagio s06an14a_aa_ ,0,0,0,0,0,0,0,0,0,0
Anorthite HS349.3B Plagio s06an14a_c   ,0,0,0,0,0,0,0,0,0,0
Anorthite HS349.3B Plagio s06an14a_ccc ,0,0,0,0,0,0,0,0,0,0
Anthophyllite HS286.3B s06an14a_c      ,0,0,0,0,0,0,0,0,0,0
Anthophyllite HS286.3B s06an14a_dd_    ,0,0,0,0,0,0,0,0,0,0
Antigorite NMNH17958 s06an14a_b        ,0,0,0,0,0,0,0,0,0,0
Antigorite NMNH96917.f <30u s06an14a_b ,0,0,0,0,0,0,0,0,0,0
Antigorite NMNH96917.e 32um s06an14a_b ,0,0,0,0,0,0,0,0,0,0
